mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_CSTF2T	ENCSR003EKR	86154	2532	613	15	-0.264284197806	87434.4504592	0.0
K562_PCBP3	ENCSR341TTW	81881	2587	1276	49	0.281473993096	81838.8127639	0.0
K562_SFPQ	ENCSR164MUK	81476	2642	1365	48	0.116950047283	81315.7404573	0.0
K562_TRNAU1AP	ENCSR341TTW	80618	2540	918	38	0.393778760661	81257.0218022	0.0
HepG2_RBM39	ENCSR104ABF	80578	2394	1336	58	0.547167642532	80207.5563375	0.0
HepG2_AATF	ENCSR003EKR	85764	2507	583	22	0.368417838259	87065.1561325	0.0
K562_SRSF7	ENCSR163JUC	84460	2699	780	35	0.489724068417	85536.6572817	0.0
K562_PPP1R8	ENCSR164MUK	81810	2634	1874	53	-0.187034832829	80633.9936605	0.0
HepG2_RBM27	ENCSR674KEK	88657	2739	1017	45	0.518262506333	89284.4055063	0.0
HepG2_SMN1	ENCSR305XWT	86159	2554	880	31	0.249007672122	86900.3643063	0.0
K562_LARP4	ENCSR164MUK	83070	2639	1119	37	0.0577233433017	83412.5923216	0.0
HepG2_DDX52	ENCSR689PHN	85425	2715	733	27	0.212852353542	86626.5581074	0.0
K562_GPKOW	ENCSR424QCW	76943	2335	1062	25	-0.366416234808	77118.9258415	0.0
HepG2_FASTKD1	ENCSR279HMU	85013	2525	671	24	0.2681217234	86153.5242618	0.0
K562_SRP68	ENCSR661HEL	79433	2384	823	33	0.417927849593	80113.9838433	0.0
HepG2_TIAL1	ENCSR305XWT	84084	2491	1444	64	0.581179348487	83585.4425689	0.0
K562_SRSF1	ENCSR129RWD	78735	2308	2426	82	0.205478138671	76104.6637862	0.0
K562_TIA1	ENCSR129RWD	81261	2431	800	23	-0.0573529136757	82054.0934627	0.0
HepG2_RPS5	ENCSR674KEK	88683	2750	810	38	0.597303466952	89744.9233521	0.0
K562_PTBP1	ENCSR898NWE	80290	2143	615	17	0.050536799308	81173.8455938	0.0
HepG2_DNAJC2	ENCSR305XWT	84669	2516	802	32	0.425171596143	85525.0036835	0.0
K562_U2AF1	ENCSR344XID	71151	1589	2488	58	0.0619032286173	67737.1171531	0.0
HepG2_DKC1	ENCSR538QOG	88590	2908	1006	36	0.12455509446	89425.8694847	0.0
K562_BOP1	ENCSR424QCW	76560	2276	1111	27	-0.290737232159	76576.4425689	0.0
HepG2_SLTM	ENCSR491FOC	87314	2650	716	30	0.465223548891	88478.2110293	0.0
