mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
K562_PUS1	ENCSR143COQ	78928	2783	3978	85	-0.722612246033	73788.0887708	0.0
K562_G3BP2	ENCSR344XID	68074	1166	1083	36	0.956571664567	67020.3411101	0.0
HepG2_HNRNPL	ENCSR042QTH	87206	2967	1256	55	0.364089532297	87570.1093128	0.0
HepG2_CCAR1	ENCSR135LXL	90343	3236	1221	46	0.0728437800148	91062.1559027	0.0
HepG2_TBRG4	ENCSR246RRQ	87823	3083	1226	49	0.187158603082	88373.8936201	0.0
K562_SRFBP1	ENCSR572FFX	75424	2550	870	24	-0.293454578511	76196.2611496	0.0
HepG2_CPSF7	ENCSR067GHD	87655	3136	801	39	0.444582709159	89118.8046294	0.0
HepG2_CPSF6	ENCSR264TUE	84073	2878	1262	46	0.0905698179875	84354.6788175	0.0
K562_ILF3	ENCSR667PLJ	76280	2586	640	21	-0.0471000087187	77549.5402243	0.0
HepG2_EIF2S1	ENCSR237YZT	86524	3068	1248	59	0.414970805104	86997.1354475	0.0
HepG2_SART3	ENCSR279HMU	85467	2848	820	39	0.513268550787	86605.401423	0.0
HepG2_G3BP2	ENCSR237YZT	88726	3073	1013	46	0.390780754706	89693.2541731	0.0
K562_DNAJC21	ENCSR667PLJ	76672	2646	777	24	-0.159993441176	77724.0918654	0.0
HepG2_TROVE2	ENCSR689PHN	83447	2871	745	24	-0.0948991660418	84786.8518547	0.0
HepG2_MSI2	ENCSR067GHD	87254	3103	990	32	-0.137799046393	88324.5627261	0.0
HepG2_PKM	ENCSR689PHN	83665	2877	847	47	0.690357785267	84763.3425941	0.0
HepG2_AGO1	ENCSR003EKR	86171	2845	662	21	-0.0576681154619	87655.2407569	0.0
HepG2_AUH	ENCSR997HCQ	92384	3329	887	44	0.461123561432	93860.0978467	0.0
K562_IGF2BP1	ENCSR163JUC	85187	2960	486	24	0.507114200279	87129.9672712	0.0
K562_TARDBP	ENCSR372DZW	85424	2841	548	27	0.567026136678	87118.7720521	0.0
K562_HNRNPM	ENCSR032YMP	75604	2385	1213	40	0.0639656539214	75503.1323827	0.0
HepG2_HNRNPA2B1	ENCSR042QTH	87933	2879	757	40	0.690543600736	89225.0726307	0.0
K562_PKM	ENCSR438MDN	83661	2932	759	29	0.124623153748	85024.1727316	0.0
K562_DKC1	ENCSR143COQ	84316	2932	1007	29	-0.272017555156	85188.3136033	0.0
HepG2_ETF1	ENCSR997HCQ	92874	3336	1098	45	0.190274335268	93937.5880855	0.0
HepG2_ILF2	ENCSR305XWT	85614	2783	895	29	-0.00462895867664	86558.6584303	0.0
K562_EEF2	ENCSR661HEL	79052	2535	810	37	0.510419578461	79901.8396397	0.0
K562_RPS3A	ENCSR419JMU	80284	2590	1067	47	0.4493328859	80661.0336665	0.0
K562_SUB1	ENCSR815CVQ	81887	2828	605	20	-0.0630828280576	83469.6113219	0.0
K562_XPO5	ENCSR164MUK	80790	2657	1345	63	0.510196063676	80654.8854845	0.0
K562_G3BP1	ENCSR129RWD	80055	2489	762	22	-0.10686219224	80983.4475191	0.0
K562_SAFB2	ENCSR154OBA	82078	2842	717	22	-0.174380572629	83448.4337228	0.0
HepG2_MARK2	ENCSR674KEK	86274	2858	726	27	0.166909789133	87632.3643996	0.0
K562_SSRP1	ENCSR032YMP	81943	2677	954	33	0.0824803312877	82657.5134948	0.0
HepG2_HNRNPK	ENCSR237YZT	87028	2992	1918	112	0.764265478607	86006.463093	0.0
K562_KIF1C	ENCSR143COQ	84032	2969	1901	53	-0.341732539179	83136.9511674	0.0
K562_KRR1	ENCSR424QCW	74550	2283	1161	40	0.169981425855	74449.7815968	0.0
K562_EIF3H	ENCSR226KWO	83091	2747	928	37	0.270235774948	83918.8627094	0.0
HepG2_SF3A3	ENCSR691IVR	86282	3024	2776	87	-0.161318783124	83671.8168076	0.0
HepG2_UCHL5	ENCSR856ZRV	79043	2716	832	32	0.162642601209	80040.1345874	0.0
K562_PARN	ENCSR667PLJ	75619	2631	697	29	0.258031766621	76804.7440807	0.0
K562_SRPK2	ENCSR174OYC	83541	2894	900	46	0.561128350767	84553.4270059	0.0
K562_XRCC6	ENCSR815CVQ	80434	2697	1300	36	-0.275992865801	80480.4915492	0.0
K562_IGF2BP1	ENCSR129RWD	82688	2602	529	25	0.586717385637	84185.6244999	0.0
HepG2_AKAP1	ENCSR237YZT	87882	3014	1449	58	0.222955496206	87907.0072629	0.0
K562_PABPC4	ENCSR344XID	76232	2048	744	30	0.585840890775	76739.7006558	0.0
K562_DDX6	ENCSR913CAE	80839	2806	648	20	-0.169457346762	82314.3368762	0.0
K562_WDR43	ENCSR174OYC	82676	2860	987	43	0.332740018637	83488.4294756	0.0
K562_BUD13	ENCSR032YMP	79589	2613	973	27	-0.242618472801	80214.1742139	0.0
HepG2_UTP18	ENCSR691IVR	89715	3162	749	31	0.231814347446	91323.5570676	0.0
K562_KHDRBS1	ENCSR667PLJ	76342	2617	736	35	0.472212214017	77424.5637418	0.0
HepG2_HNRNPC	ENCSR305XWT	84466	2714	1809	75	0.367720103904	83452.8157614	0.0
K562_TRIP6	ENCSR032YMP	81878	2711	916	35	0.206658073237	82697.6994995	0.0
K562_FXR2	ENCSR828YEB	65298	1731	1109	36	0.29224252588	64758.5835956	0.0
HepG2_CCAR2	ENCSR674KEK	86901	2843	619	31	0.614287485773	88448.74719	0.0
K562_PTBP1	ENCSR163JUC	84635	2921	689	24	0.013322464303	86135.8062316	0.0
HepG2_IGF2BP2	ENCSR237YZT	87459	3043	1184	54	0.39047475041	88042.9869869	0.0
HepG2_NUP35	ENCSR960MSV	86593	3110	690	28	0.17616629009	88272.750225	0.0
K562_HNRNPAB	ENCSR419JMU	81048	2679	1079	41	0.201082954016	81501.9923061	0.0
K562_PHF6	ENCSR572FFX	78548	2605	834	26	-0.0892445910328	79442.1146723	0.0
K562_SF1	ENCSR164MUK	81662	2646	1239	61	0.603556800015	81728.2047478	0.0
HepG2_RBM25	ENCSR603TCV	87279	3018	1548	80	0.579708199829	87070.5762863	0.0
K562_CSTF2	ENCSR245BNJ	78510	2581	873	38	0.404964048377	79279.2668861	0.0
HepG2_DDX19B	ENCSR538QOG	88947	3164	879	54	0.788292589263	90254.6081506	0.0
HepG2_AKAP8L	ENCSR538QOG	89801	3227	833	42	0.488610764999	91286.2736007	0.0
K562_UCHL5	ENCSR661HEL	79199	2555	924	39	0.387740195514	79839.3754394	0.0
HepG2_GRWD1	ENCSR674KEK	86900	2783	620	19	-0.0635535285731	88409.5531914	0.0
K562_UPF2	ENCSR438MDN	83598	2910	615	18	-0.250140229373	85246.6356709	0.0
K562_RBM34	ENCSR129RWD	81245	2563	617	14	-0.475398111771	82550.7621643	0.0
K562_RPS10	ENCSR084SCN	78304	2304	556	22	0.427363930551	79456.1579648	0.0
HepG2_NOL12	ENCSR042QTH	89014	3055	951	62	0.925682753394	90054.4184759	0.0
K562_EIF4G2	ENCSR620PUP	87436	3037	1005	42	0.266846225566	88391.1324284	0.0
HepG2_RPS19	ENCSR689PHN	83592	2885	1294	48	0.104062253504	83813.8296691	0.0
K562_SLBP	ENCSR667PLJ	76879	2650	790	31	0.187012772979	77895.4805931	0.0
HepG2_SRP68	ENCSR856ZRV	87756	2957	487	26	0.663953375347	89689.9312059	0.0
K562_UTP3	ENCSR024FOF	83179	2817	939	47	0.563595375824	84035.3844513	0.0
HepG2_TFIP11	ENCSR856ZRV	85298	2892	747	39	0.62281024344	86625.0678103	0.0
HepG2_RPS10	ENCSR491FOC	86398	2855	834	28	0.0228866141959	87537.325209	0.0
K562_MTPAP	ENCSR174OYC	82953	2876	910	43	0.446700596	83933.6256681	0.0
K562_DGCR8	ENCSR395HQT	83155	2977	490	8	-1.13276605223	85138.9088771	0.0
K562_PRPF8	ENCSR661HEL	76014	2383	2302	89	0.302475609888	73688.0374878	0.0
K562_LIN28B	ENCSR572FFX	78810	2639	499	17	0.024882281329	80420.2690214	0.0
K562_CIRBP	ENCSR129RWD	81636	2544	599	26	0.478062444561	82934.6608553	0.0
HepG2_FUS	ENCSR491FOC	87876	2923	943	28	-0.1638115712	88867.387579	0.0
K562_CSTF2T	ENCSR815CVQ	82097	2835	625	26	0.268636202115	83634.996539	0.0
K562_ESF1	ENCSR032YMP	80933	2651	820	33	0.297033518376	81886.7188951	0.0
K562_DDX47	ENCSR031RRO	84363	2849	668	32	0.504378579915	85817.6487574	0.0
K562_PNPT1	ENCSR620PUP	88322	3093	894	34	0.119025922998	89568.4228629	0.0
HepG2_METAP2	ENCSR689PHN	84689	2888	1187	55	0.442287440943	85110.6844153	0.0
K562_CCDC124	ENCSR143COQ	86272	3057	839	22	-0.434391437508	87615.3176468	0.0
HepG2_EIF2S2	ENCSR067GHD	87252	3104	817	36	0.308720471976	88658.0676541	0.0
K562_DDX24	ENCSR913CAE	81056	2774	659	33	0.549138753739	82451.7503636	0.0
K562_U2AF2	ENCSR344XID	70375	1601	2727	68	0.132381660561	66494.558234	0.0
HepG2_CSTF2T	ENCSR003EKR	85950	2736	602	26	0.440177545748	87434.4635274	0.0
K562_PCBP3	ENCSR341TTW	81705	2763	1277	48	0.152536591655	81838.792618	0.0
K562_SFPQ	ENCSR164MUK	81302	2816	1357	56	0.252721520068	81315.7631284	0.0
K562_TRNAU1AP	ENCSR341TTW	80436	2722	921	35	0.167328038578	81256.995576	0.0
HepG2_RBM39	ENCSR104ABF	80377	2595	1336	58	0.427252990051	80207.5028907	0.0
HepG2_AATF	ENCSR003EKR	85549	2722	584	21	0.176504882796	87065.1486875	0.0
K562_SRSF7	ENCSR163JUC	84242	2917	780	35	0.373935099823	85536.6420028	0.0
K562_PPP1R8	ENCSR164MUK	81631	2813	1857	70	0.129460590033	80633.9862682	0.0
HepG2_RBM27	ENCSR674KEK	88417	2979	1021	41	0.253208609337	89284.354335	0.0
HepG2_SMN1	ENCSR305XWT	85923	2790	880	31	0.117543935569	86900.3571651	0.0
K562_LARP4	ENCSR164MUK	82883	2826	1110	46	0.281460847219	83412.6142948	0.0
HepG2_DDX52	ENCSR689PHN	85187	2953	730	30	0.245517964387	86626.5604241	0.0
K562_GPKOW	ENCSR424QCW	76811	2467	1056	31	-0.129714497564	77118.9074626	0.0
HepG2_FASTKD1	ENCSR279HMU	84772	2766	673	22	0.00268368698239	86153.51789	0.0
K562_SRP68	ENCSR661HEL	79253	2564	823	33	0.309642879147	80113.9711416	0.0
HepG2_TIAL1	ENCSR305XWT	83847	2728	1440	68	0.537453361316	83585.4257743	0.0
K562_SRSF1	ENCSR129RWD	78596	2447	2413	95	0.338613292606	76104.7704457	0.0
K562_TIA1	ENCSR129RWD	81119	2573	793	30	0.25423004525	82054.1019651	0.0
HepG2_RPS5	ENCSR674KEK	88460	2973	815	33	0.268771744118	89744.8750577	0.0
K562_PTBP1	ENCSR898NWE	80165	2268	607	25	0.541783432316	81173.8717062	0.0
HepG2_DNAJC2	ENCSR305XWT	84423	2762	803	31	0.238791005026	85524.9857719	0.0
K562_U2AF1	ENCSR344XID	71049	1691	2491	55	-0.1082838136	67737.1241157	0.0
HepG2_DKC1	ENCSR538QOG	88350	3148	1010	32	-0.16941688882	89425.8714093	0.0
