mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
K562_ILF2	ENCSR419JMU	74663	8543	1137	131	0.00998525322403	80689.3234999	0.0
K562_FXR1	ENCSR913CAE	72983	8461	1601	183	-0.0203973891521	77915.078564	0.0
HepG2_SNRNP70	ENCSR264TUE	78426	9058	1648	226	0.247746010539	83776.2689205	0.0
K562_SERBP1	ENCSR661HEL	71798	7939	797	90	0.0303316379259	77972.8674481	0.0
HepG2_KHDRBS1	ENCSR279HMU	79412	9243	846	109	0.146594413892	86755.2980985	0.0
K562_PPIG	ENCSR032YMP	74928	8735	880	100	-0.036878188855	81714.4800749	0.0
HepG2_DDX5	ENCSR776SXA	80061	9596	748	89	-0.0105664558794	87990.8139194	0.0
HepG2_TUFM	ENCSR042QTH	82014	9635	969	136	0.256623616695	89452.3684571	0.0
K562_SF3A3	ENCSR174OYC	76270	9282	1369	151	-0.141893894796	82539.0291903	0.0
HepG2_G3BP1	ENCSR237YZT	81662	9950	1107	117	-0.205178316645	89180.3821344	0.0
K562_SRSF5	ENCSR129RWD	74965	8400	686	86	0.161955936306	81828.158019	0.0
K562_CNOT8	ENCSR898NWE	71227	6982	955	99	0.0807116620508	76115.2082368	0.0
K562_SF3B1	ENCSR424QCW	69989	7552	1668	161	-0.16078917012	73926.1846397	0.0
K562_AATF	ENCSR815CVQ	75749	9094	596	71	-0.0111814671718	83514.2437036	0.0
K562_SMNDC1	ENCSR815CVQ	75214	9070	858	71	-0.543259950114	82436.343381	0.0
HepG2_FASTKD2	ENCSR003EKR	80050	9180	649	71	-0.0679922045046	87795.8108525	0.0
HepG2_NSUN2	ENCSR264TUE	76198	8811	1128	121	-0.108312655411	82529.3600639	0.0
K562_TROVE2	ENCSR092WKG	78475	9765	763	86	-0.14273331755	86550.1759271	0.0
HepG2_ACO1	ENCSR538QOG	82079	10038	837	113	0.142636452799	90226.8073675	0.0
K562_SNRNP200	ENCSR164MUK	72748	8504	2168	181	-0.485609070496	76622.4620886	0.0
HepG2_DDX55	ENCSR856ZRV	80953	9498	843	154	0.638786604135	88468.2754849	0.0
HepG2_PPIL4	ENCSR305XWT	78251	8727	775	100	0.210355176266	85236.8214899	0.0
HepG2_PABPC4	ENCSR237YZT	81270	9789	1076	131	0.0154501399783	88660.9991343	0.0
K562_EWSR1	ENCSR913CAE	73522	8891	741	67	-0.419482127374	80804.973147	0.0
HepG2_ILF3	ENCSR279HMU	79565	9224	898	121	0.216961124863	86762.7224323	0.0
K562_PUS1	ENCSR143COQ	72724	8987	3820	243	-0.958024373038	73792.2250202	0.0
K562_G3BP2	ENCSR344XID	65176	4064	1030	89	0.470673314976	67020.2265291	0.0
HepG2_HNRNPL	ENCSR042QTH	80678	9495	1180	131	-0.0842127280788	87570.0661045	0.0
HepG2_CCAR1	ENCSR135LXL	83311	10268	1136	131	-0.0959723240299	91062.1614123	0.0
HepG2_TBRG4	ENCSR246RRQ	81062	9844	1162	113	-0.32050618322	88373.9540646	0.0
K562_SRFBP1	ENCSR572FFX	69648	8326	818	76	-0.36364305785	76196.3009554	0.0
HepG2_CPSF7	ENCSR067GHD	80841	9950	733	107	0.246116335408	89118.7968971	0.0
HepG2_CPSF6	ENCSR264TUE	77781	9170	1190	118	-0.249678664707	84354.7246754	0.0
K562_ILF3	ENCSR667PLJ	70445	8421	598	63	-0.182287908896	77549.5476791	0.0
HepG2_EIF2S1	ENCSR237YZT	79766	9826	1168	139	-0.0497856969926	86997.0691396	0.0
HepG2_SART3	ENCSR279HMU	79213	9102	740	119	0.484918028249	86605.4688186	0.0
HepG2_G3BP2	ENCSR237YZT	81982	9817	951	108	-0.0764609633353	89693.2198451	0.0
K562_DNAJC21	ENCSR667PLJ	70740	8578	727	74	-0.252545190338	77724.1098078	0.0
HepG2_TROVE2	ENCSR689PHN	77196	9122	703	66	-0.331882740504	84786.8795296	0.0
HepG2_MSI2	ENCSR067GHD	80517	9840	923	99	-0.188267018664	88324.5767711	0.0
HepG2_PKM	ENCSR689PHN	77357	9185	793	101	0.101214647003	84763.2397954	0.0
HepG2_AGO1	ENCSR003EKR	79939	9077	612	71	0.0309713397233	87655.2407323	0.0
HepG2_AUH	ENCSR997HCQ	85141	10572	825	106	0.0492758503315	93860.0568996	0.0
K562_IGF2BP1	ENCSR163JUC	78574	9573	457	53	-0.0711209087774	87129.9514206	0.0
K562_TARDBP	ENCSR372DZW	79084	9181	506	69	0.232193518743	87118.7560906	0.0
K562_HNRNPM	ENCSR032YMP	70229	7760	1127	126	0.0169464583949	75503.1314108	0.0
HepG2_HNRNPA2B1	ENCSR042QTH	81508	9304	712	85	0.0646761698785	89224.996109	0.0
K562_PKM	ENCSR438MDN	77126	9467	705	83	-0.0602019531016	85024.1720105	0.0
K562_DKC1	ENCSR143COQ	77763	9485	955	81	-0.524142721387	85188.4199879	0.0
HepG2_ETF1	ENCSR997HCQ	85589	10621	1016	127	0.0105057849218	93937.5792105	0.0
HepG2_ILF2	ENCSR305XWT	79563	8834	839	85	-0.132177126381	86558.6652039	0.0
K562_EEF2	ENCSR661HEL	73327	8260	751	96	0.182424232595	79901.8073255	0.0
K562_RPS3A	ENCSR419JMU	74416	8458	995	119	0.0734894273727	80660.9781995	0.0
K562_SUB1	ENCSR815CVQ	75578	9137	570	55	-0.325284514446	83469.6299415	0.0
K562_XPO5	ENCSR164MUK	74785	8662	1263	145	-0.012752980693	80654.7573347	0.0
K562_G3BP1	ENCSR129RWD	74379	8165	720	64	-0.304482535686	80983.4713626	0.0
K562_SAFB2	ENCSR154OBA	75766	9154	672	67	-0.277151845299	83448.4506327	0.0
HepG2_MARK2	ENCSR674KEK	79979	9153	682	71	-0.136576152432	87632.366325	0.0
K562_SSRP1	ENCSR032YMP	75934	8686	892	95	-0.103062142007	82657.5173911	0.0
HepG2_HNRNPK	ENCSR237YZT	80366	9654	1778	252	0.238626860225	86005.9140862	0.0
K562_KIF1C	ENCSR143COQ	77437	9564	1810	144	-0.634511953689	83137.4747798	0.0
K562_KRR1	ENCSR424QCW	69475	7358	1092	109	-0.0854644681406	74449.7786346	0.0
K562_EIF3H	ENCSR226KWO	76923	8915	879	86	-0.244346274466	83918.8739561	0.0
HepG2_SF3A3	ENCSR691IVR	79680	9626	2621	242	-0.387829082063	83672.2993133	0.0
HepG2_UCHL5	ENCSR856ZRV	73025	8734	779	85	-0.1324125651	80040.1372714	0.0
K562_PARN	ENCSR667PLJ	69735	8515	645	81	0.0404991441356	76804.7363217	0.0
K562_SRPK2	ENCSR174OYC	77056	9379	846	100	-0.0422563803476	84553.3544696	0.0
K562_XRCC6	ENCSR815CVQ	74362	8769	1194	142	0.0122413359843	80480.4710301	0.0
K562_IGF2BP1	ENCSR129RWD	76723	8567	480	74	0.465359909713	84185.6422077	0.0
HepG2_AKAP1	ENCSR237YZT	81229	9667	1340	167	0.0665417440153	87906.9903752	0.0
K562_PABPC4	ENCSR344XID	71412	6868	702	72	0.0928023603209	76739.6556619	0.0
K562_DDX6	ENCSR913CAE	74559	9086	609	59	-0.33099006864	82314.3574459	0.0
K562_WDR43	ENCSR174OYC	76318	9218	902	128	0.232514068332	83488.4381012	0.0
K562_BUD13	ENCSR032YMP	73744	8458	917	83	-0.34160128494	80214.2173076	0.0
HepG2_UTP18	ENCSR691IVR	82806	10071	701	79	-0.109961521647	91323.5540648	0.0
K562_KHDRBS1	ENCSR667PLJ	70431	8528	688	83	-0.0052940998848	77424.5284865	0.0
HepG2_HNRNPC	ENCSR305XWT	78477	8703	1701	183	-0.043782397139	83452.7173974	0.0
K562_TRIP6	ENCSR032YMP	75811	8778	856	95	-0.0611683580966	82697.6934378	0.0
K562_FXR2	ENCSR828YEB	61382	5647	1054	91	-0.0916053941957	64758.5648425	0.0
HepG2_CCAR2	ENCSR674KEK	80611	9133	561	89	0.48569245114	88448.7714886	0.0
K562_PTBP1	ENCSR163JUC	78117	9439	648	65	-0.268551573471	86135.8229326	0.0
HepG2_IGF2BP2	ENCSR237YZT	80758	9744	1095	143	0.1141753262	88042.9457607	0.0
HepG2_NUP35	ENCSR960MSV	79868	9835	648	70	-0.188946356405	88272.7556955	0.0
K562_HNRNPAB	ENCSR419JMU	74977	8750	1024	96	-0.31594432006	81502.0385593	0.0
K562_PHF6	ENCSR572FFX	72670	8483	793	67	-0.466374425962	79442.1826644	0.0
K562_SF1	ENCSR164MUK	75682	8626	1123	177	0.467649930861	81728.2954531	0.0
HepG2_RBM25	ENCSR603TCV	80641	9656	1419	209	0.298716206105	87070.4931606	0.0
K562_CSTF2	ENCSR245BNJ	72653	8438	814	97	0.0370772363474	79279.2350835	0.0
HepG2_DDX19B	ENCSR538QOG	82097	10014	771	162	0.784574096239	90254.8614462	0.0
HepG2_AKAP8L	ENCSR538QOG	82781	10247	782	93	-0.0577679053921	91286.2313026	0.0
K562_UCHL5	ENCSR661HEL	73426	8328	845	118	0.300084553412	79839.3963665	0.0
HepG2_GRWD1	ENCSR674KEK	80732	8951	558	81	0.388748550088	88409.5897514	0.0
K562_UPF2	ENCSR438MDN	77096	9412	572	61	-0.195051214683	85246.6391982	0.0
K562_RBM34	ENCSR129RWD	75386	8422	576	55	-0.226503444326	82550.7602077	0.0
K562_RPS10	ENCSR084SCN	73042	7566	519	59	0.134175908531	79456.1478396	0.0
HepG2_NOL12	ENCSR042QTH	82297	9772	894	119	0.164800813969	90054.1607459	0.0
K562_EIF4G2	ENCSR620PUP	80624	9849	935	112	-0.0283074270418	88391.1168671	0.0
HepG2_RPS19	ENCSR689PHN	77265	9212	1196	146	0.0340516092209	83813.8270555	0.0
K562_SLBP	ENCSR667PLJ	70941	8588	728	93	0.0775897415643	77895.4778744	0.0
HepG2_SRP68	ENCSR856ZRV	81202	9511	451	62	0.231059007293	89689.9090403	0.0
K562_UTP3	ENCSR024FOF	76894	9102	865	121	0.240922453145	84035.3391507	0.0
HepG2_TFIP11	ENCSR856ZRV	78951	9239	675	111	0.490821101432	86625.1045704	0.0
HepG2_RPS10	ENCSR491FOC	80185	9068	771	91	0.0616836747925	87537.3265804	0.0
K562_MTPAP	ENCSR174OYC	76493	9336	859	94	-0.157474205164	83933.5928298	0.0
K562_DGCR8	ENCSR395HQT	76564	9568	464	34	-0.770141244754	85138.9327937	0.0
K562_PRPF8	ENCSR661HEL	70638	7759	2124	267	0.19462974565	73688.0540452	0.0
K562_LIN28B	ENCSR572FFX	72862	8587	467	49	-0.167628396104	80420.2727876	0.0
K562_CIRBP	ENCSR129RWD	75796	8384	561	64	0.0445541321263	82934.6407608	0.0
HepG2_FUS	ENCSR491FOC	81497	9302	884	87	-0.213824955491	88867.4024661	0.0
K562_CSTF2T	ENCSR815CVQ	75784	9148	581	70	-0.00274631772767	83634.9898878	0.0
K562_ESF1	ENCSR032YMP	75015	8569	762	91	0.0641278013225	81886.7067624	0.0
K562_DDX47	ENCSR031RRO	77990	9222	621	79	0.105468870309	85817.6215006	0.0
K562_PNPT1	ENCSR620PUP	81454	9961	830	98	-0.0506346235574	89568.4216945	0.0
HepG2_METAP2	ENCSR689PHN	78345	9232	1118	124	-0.087382087121	85110.6196117	0.0
K562_CCDC124	ENCSR143COQ	79490	9839	800	61	-0.69892907218	87615.4295161	0.0
HepG2_EIF2S2	ENCSR067GHD	80508	9848	770	83	-0.182445721647	88658.0640184	0.0
K562_DDX24	ENCSR913CAE	74848	8982	621	71	-0.0698471991429	82451.7135556	0.0
K562_U2AF2	ENCSR344XID	66579	5397	2622	173	-0.296986133288	66494.8045339	0.0
HepG2_CSTF2T	ENCSR003EKR	79867	8819	572	56	-0.173603871931	87434.4522065	0.0
K562_PCBP3	ENCSR341TTW	75578	8890	1161	164	0.264110765042	81838.8602547	0.0
K562_SFPQ	ENCSR164MUK	74988	9130	1270	143	-0.11276846427	81315.7485338	0.0
K562_TRNAU1AP	ENCSR341TTW	74376	8782	859	97	-0.0643857577705	81256.9923517	0.0
HepG2_RBM39	ENCSR104ABF	74622	8350	1245	149	0.0969914182284	80207.4304917	0.0
HepG2_AATF	ENCSR003EKR	79484	8787	544	61	0.0204963747176	87065.1466812	0.0
K562_SRSF7	ENCSR163JUC	77748	9411	721	94	0.107119031061	85536.6251312	0.0
K562_PPP1R8	ENCSR164MUK	75306	9138	1767	160	-0.422343761226	80634.262846	0.0
HepG2_RBM27	ENCSR674KEK	81902	9494	936	126	0.215725931121	89284.3690957	0.0
HepG2_SMN1	ENCSR305XWT	79825	8888	810	101	0.163343310936	86900.3669568	0.0
K562_LARP4	ENCSR164MUK	76534	9175	1039	117	-0.0902944792342	83412.5971058	0.0
HepG2_DDX52	ENCSR689PHN	78761	9379	671	89	0.155539889288	86626.5610939	0.0
K562_GPKOW	ENCSR424QCW	71350	7928	990	97	-0.181487310716	77118.9233164	0.0
HepG2_FASTKD1	ENCSR279HMU	78689	8849	623	72	0.0394122880113	86153.5182718	0.0
K562_SRP68	ENCSR661HEL	73449	8368	771	85	-0.0474080216928	80113.9566566	0.0
HepG2_TIAL1	ENCSR305XWT	77858	8717	1328	180	0.275755335817	83585.3681633	0.0
K562_SRSF1	ENCSR129RWD	72964	8079	2251	257	0.0442103945238	76104.6206126	0.0
K562_TIA1	ENCSR129RWD	75230	8462	741	82	-0.0235402281293	82054.0933085	0.0
HepG2_RPS5	ENCSR674KEK	81922	9511	747	101	0.219829045746	89744.8840146	0.0
K562_PTBP1	ENCSR898NWE	74892	7541	581	51	-0.197985148691	81173.8522183	0.0
HepG2_DNAJC2	ENCSR305XWT	78397	8788	743	91	0.127767912903	85524.9840185	0.0
K562_U2AF1	ENCSR344XID	67050	5690	2385	161	-0.330119898293	67737.3911065	0.0
HepG2_DKC1	ENCSR538QOG	81532	9966	931	111	-0.0359415652277	89425.8672336	0.0
K562_BOP1	ENCSR424QCW	71089	7747	1041	97	-0.225924815085	76576.4585387	0.0
HepG2_SLTM	ENCSR491FOC	80790	9174	656	90	0.27285500974	88478.2095298	0.0
HepG2_CDC40	ENCSR481WJH	70626	7372	839	60	-0.545564991102	76210.4552161	0.0
HepG2_EIF4B	ENCSR237YZT	81367	9716	1201	137	-0.065978948296	88426.6588627	0.0
K562_AGO1	ENCSR084SCN	73225	7498	572	64	0.127887220588	79456.0144798	0.0
K562_EIF2S2	ENCSR118EFE	76572	8961	741	96	0.146718064786	83867.1992371	0.0
HepG2_EFTUD2	ENCSR689PHN	78413	9276	909	99	-0.11926173231	85684.5941488	0.0
K562_ZNF800	ENCSR341TTW	75342	8946	793	90	-0.0651842918034	82531.2520255	0.0
K562_PPIL4	ENCSR419JMU	74046	8612	1039	89	-0.441244930006	80417.4988221	0.0
HepG2_RPLP0	ENCSR105NML	84926	10165	535	58	-0.142818000467	93908.7012266	0.0
K562_RBM17	ENCSR118EFE	77101	9045	884	110	0.085014318191	84169.4732403	0.0
HepG2_RPL23A	ENCSR674KEK	81626	9458	587	78	0.197607240066	89758.8645792	0.0
HepG2_XRCC6	ENCSR491FOC	81148	9275	891	99	-0.0407886502082	88453.8398363	0.0
HepG2_STIP1	ENCSR279HMU	77888	9073	749	103	0.239428128029	85265.3719563	0.0
HepG2_QKI	ENCSR603TCV	82079	9892	1197	124	-0.218332117253	89348.0108501	0.0
HepG2_BCLAF1	ENCSR856ZRV	80735	9473	693	93	0.193748221402	88642.861477	0.0
HepG2_SAFB2	ENCSR305XWT	78027	8717	830	125	0.430886575748	84844.6214696	0.0
K562_PABPC1	ENCSR419JMU	75483	8838	1103	110	-0.231497435655	81912.4867437	0.0
HepG2_TIA1	ENCSR603TCV	81065	9671	866	97	-0.0909681905377	88820.2242009	0.0
HepG2_U2AF2	ENCSR104ABF	75292	8471	2345	211	-0.322380630924	78729.2916758	0.0
K562_CNOT7	ENCSR419JMU	75431	8853	1359	156	-0.0320082964346	81281.2332751	0.0
HepG2_SERBP1	ENCSR689PHN	78055	9184	982	130	0.170085102037	85029.1945736	0.0
K562_XRN2	ENCSR661HEL	73539	8342	839	118	0.310160390162	79978.2412215	0.0
K562_PUM2	ENCSR620PUP	82004	10090	831	113	0.144242404583	90215.6865752	0.0
HepG2_RBFOX2	ENCSR104ABF	75998	8665	1013	118	0.0309143884603	82416.1095034	0.0
K562_XRCC5	ENCSR815CVQ	75890	9141	717	71	-0.282596300335	83462.325605	0.0
K562_STAU1	ENCSR032YMP	75429	8681	950	103	-0.0860970238289	82017.1869884	0.0
K562_HNRNPA1	ENCSR438MDN	76649	9306	816	110	0.150968249254	84112.9873165	0.0
HepG2_LIN28B	ENCSR674KEK	81453	9407	725	111	0.40673990771	89195.7628772	0.0
K562_STIP1	ENCSR419JMU	74982	8870	957	86	-0.39657206218	81779.0480733	0.0
K562_DDX27	ENCSR245BNJ	73839	8385	548	78	0.325870461727	80976.7925921	0.0
HepG2_RRP9	ENCSR856ZRV	78382	8900	1044	178	0.586472578511	84855.4654375	0.0
K562_PES1	ENCSR661HEL	73186	8310	653	78	0.0731103520462	80040.5585039	0.0
K562_SF3B4	ENCSR344XID	69054	6730	2798	202	-0.432922188364	69903.435203	0.0
K562_HNRNPUL1	ENCSR164MUK	76228	9269	1323	127	-0.341077240036	82621.7018609	0.0
K562_RBM3	ENCSR936VPP	77035	7910	485	47	-0.0834876179205	83884.3327489	0.0
K562_NAA15	ENCSR143COQ	72345	8551	2142	181	-0.484168618353	76317.2518574	0.0
K562_PCBP2	ENCSR129RWD	72944	7938	2045	241	0.114946055266	76374.6488248	0.0
K562_HNRNPH1	ENCSR341TTW	75287	8916	830	118	0.263607773955	82317.712005	0.0
K562_RECQL	ENCSR344XID	73067	7128	423	54	0.388024381159	79243.8579255	0.0
K562_AKAP1	ENCSR913CAE	74303	8950	647	51	-0.611735686441	81862.9244247	0.0
HepG2_UTP3	ENCSR691IVR	80845	9622	1091	125	-0.0549012557268	88051.3468836	0.0
HepG2_DDX21	ENCSR105NML	84556	10105	471	69	0.293779015756	93584.0947515	0.0
HepG2_SSRP1	ENCSR246RRQ	82212	10008	734	114	0.351449057655	90531.8518137	0.0
K562_DHX30	ENCSR667PLJ	70335	8586	690	85	0.0131230863537	77378.61052	0.0
K562_WRN	ENCSR718EWL	80205	9787	613	61	-0.294252353408	88649.0653051	0.0
K562_HNRNPC	ENCSR771ZZL	68905	5835	1015	111	0.368955967214	72505.0629505	0.0
HepG2_DDX28	ENCSR856ZRV	80241	9302	504	78	0.416849035974	88382.8197163	0.0
HepG2_FXR1	ENCSR237YZT	81706	9883	987	96	-0.314522694302	89435.8553679	0.0
HepG2_DAZAP1	ENCSR003EKR	81332	9509	391	47	0.040021610119	89967.1120215	0.0
K562_YBX3	ENCSR667PLJ	70946	8517	543	80	0.295423798307	78221.907402	0.0
K562_EIF3G	ENCSR084SCN	72494	7628	941	117	0.240798652827	78020.0091145	0.0
K562_FXR2	ENCSR913CAE	75907	9124	321	28	-0.462579982443	84334.443391	0.0
HepG2_DHX30	ENCSR305XWT	77706	8496	748	60	-0.44683353618	84593.6239965	0.0
K562_CEBPZ	ENCSR163JUC	78695	9533	472	39	-0.551971057077	87208.9905314	0.0
K562_FUBP3	ENCSR913CAE	74118	8818	729	64	-0.438474434184	81357.634706	0.0
K562_BCCIP	ENCSR245BNJ	75174	8619	612	87	0.310197025969	82400.860537	0.0
K562_GTF2F1	ENCSR815CVQ	75576	9024	583	57	-0.288372868578	83324.8573539	0.0
HepG2_RTF1	ENCSR491FOC	81052	8915	599	66	0.00252300903474	88641.9154148	0.0
HepG2_NCBP2	ENCSR237YZT	7439	882	114	13	-0.0561921592423	8068.93861898	0.0
