mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_SRSF7	ENCSR603TCV	86414	6115	807	43	-0.40931944896	90836.8387542	0.0
K562_METAP2	ENCSR424QCW	74333	4840	1050	52	-0.394810012212	76984.3905828	0.0
HepG2_SUB1	ENCSR491FOC	83130	5306	662	46	0.122547180111	87025.670585	0.0
K562_PAPOLA	ENCSR942UNX	70928	4009	719	36	-0.174882013982	73434.6118047	0.0
K562_TBRG4	ENCSR344XID	73586	3887	623	26	-0.339946333181	76180.4484082	0.0
K562_SAFB	ENCSR341TTW	75561	5180	1084	77	0.0512552912865	78435.6956858	0.0
HepG2_PABPC1	ENCSR279HMU	81487	5532	1075	78	0.0959781306374	84728.281493	0.0
HepG2_FUBP3	ENCSR376RJN	81556	5819	906	59	-0.131776323296	85455.6629045	0.0
HepG2_ATP5C1	ENCSR067GHD	85167	6119	757	44	-0.30579114376	89691.0449249	0.0
K562_TRIM56	ENCSR572FFX	75331	5331	985	40	-0.801286225787	78625.1796232	0.0
HepG2_PUS1	ENCSR538QOG	86525	6186	857	46	-0.413551140205	90913.8303493	0.0
HepG2_NONO	ENCSR856ZRV	84743	5820	865	77	0.3742333626	88688.8480714	0.0
K562_TARDBP	ENCSR129RWD	79543	5271	900	52	-0.197755095195	82920.696167	0.0
HepG2_PPIG	ENCSR246RRQ	85964	6134	792	53	-0.0926036227105	90415.7547613	0.0
HepG2_EIF4G1	ENCSR042QTH	85597	5710	811	37	-0.548107155291	89618.9236807	0.0
HepG2_SND1	ENCSR491FOC	84821	5685	659	62	0.489250892884	89069.7961356	0.0
HepG2_FIP1L1	ENCSR067GHD	84626	6070	1169	84	0.00259076333543	88207.3106787	0.0
HepG2_XPO5	ENCSR279HMU	81697	5544	927	75	0.253677101343	85248.5330994	0.0
K562_SDAD1	ENCSR341TTW	77106	5259	749	48	-0.0898766819092	80778.7138175	0.0
K562_RECQL	ENCSR942UNX	74111	4531	419	19	-0.431092624327	77768.448566	0.0
K562_PA2G4	ENCSR661HEL	76749	5118	667	39	-0.189644831781	80461.0938613	0.0
HepG2_PA2G4	ENCSR689PHN	78176	5418	1016	45	-0.645938120377	81485.5780112	0.0
HepG2_DDX59	ENCSR264TUE	82610	5679	1185	68	-0.260600887921	85800.8124726	0.0
K562_RPS3	ENCSR772DUM	74079	4859	1774	88	-0.40302538959	75258.0764445	0.0
HepG2_HLTF	ENCSR491FOC	83392	5059	674	55	0.427739777104	86999.0454212	0.0
K562_UBE2L3	ENCSR620PUP	86486	6225	906	66	0.0173477510948	90777.1907287	0.0
HepG2_DROSHA	ENCSR481WJH	69992	4157	976	33	-0.812767838077	72144.8717517	0.0
K562_DDX51	ENCSR661HEL	77041	5163	643	56	0.378024921149	80811.9740088	0.0
HepG2_HNRNPF	ENCSR305XWT	84287	5471	624	44	0.119463073291	88426.9735106	0.0
HepG2_SF3B1	ENCSR264TUE	80736	5382	2075	199	0.524726814758	81630.6877248	0.0
