mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_XRN2	ENCSR856ZRV	84527	3839	821	39	0.0647735890304	86654.3704655	0.0
K562_SYNCRIP	ENCSR341TTW	78003	3457	1190	53	0.00711169883358	78992.9669842	0.0
HepG2_SUGP2	ENCSR246RRQ	87914	4104	820	32	-0.258489807711	90321.8978963	0.0
K562_CKAP4	ENCSR324WIS	82232	3778	930	40	-0.095153500226	84080.9413078	0.0
K562_AKAP8	ENCSR143COQ	83231	4011	1110	32	-0.741256861631	84973.0586765	0.0
K562_DDX19B	ENCSR143COQ	85237	4092	771	30	-0.303094687558	87734.1939198	0.0
HepG2_ZRANB2	ENCSR491FOC	86041	3773	791	32	-0.116293597345	88175.5432957	0.0
HepG2_PHF6	ENCSR674KEK	86386	3777	648	35	0.304917848587	88802.1851191	0.0
HepG2_PNPT1	ENCSR279HMU	83879	3692	752	40	0.273174446934	85994.1752715	0.0
K562_ASCC1	ENCSR913CAE	79498	3719	570	26	-0.036446478248	82029.2686646	0.0
K562_EIF2S1	ENCSR913CAE	80779	3807	665	28	-0.162601796971	83205.6804409	0.0
K562_FMR1	ENCSR424QCW	76229	3243	1158	48	-0.0375180157409	77078.3017112	0.0
K562_LARP7	ENCSR572FFX	77542	3446	747	44	0.406450525416	79413.758027	0.0
HepG2_NKRF	ENCSR246RRQ	87638	4097	853	31	-0.363288858119	89975.5369992	0.0
K562_HNRNPU	ENCSR438MDN	82963	3948	784	51	0.450989666904	85249.0676113	0.0
HepG2_MAGOH	ENCSR237YZT	86337	3995	2310	76	-0.492038067586	85623.2512904	0.0
HepG2_MATR3	ENCSR237YZT	86966	4018	1652	83	0.120943469651	87547.09581	0.0
K562_DDX55	ENCSR572FFX	75205	3320	830	33	-0.150999970974	76808.4883072	0.0
C4-2B_ZFX	ENCSR142YZV	93722	4454	399	19	0.00289685520161	97341.7797021	0.0
HepG2_SUPT6H	ENCSR067GHD	85569	3997	865	48	0.248504930988	87749.3205453	0.0
K562_RBFOX2	ENCSR667PLJ	75366	3589	723	30	-0.198701244976	77456.1866392	0.0
HepG2_PCBP1	ENCSR603TCV	86927	3989	1533	89	0.33929677636	87701.0209127	0.0
K562_RCC2	ENCSR572FFX	75666	3468	866	27	-0.555866335579	77358.1216077	0.0
K562_EXOSC9	ENCSR815CVQ	81834	3867	790	22	-0.762863522186	84084.7515761	0.0
HepG2_SLBP	ENCSR042QTH	87490	3921	996	45	0.0116757453838	89340.8550714	0.0
K562_MAK16	ENCSR143COQ	83448	4030	1253	36	-0.749219968846	84919.1358077	0.0
HepG2_SBDS	ENCSR279HMU	84654	3753	833	39	0.07869157691	86671.6020414	0.0
K562_UTP18	ENCSR143COQ	82026	3995	2314	55	-1.03499956673	81349.0364494	0.0
K562_CPSF7	ENCSR667PLJ	75515	3554	661	33	0.0851353154938	77687.0922989	0.0
K562_SND1	ENCSR084SCN	75896	2845	600	20	-0.169367300975	77505.8839305	0.0
HepG2_DDX21	ENCSR003EKR	86957	3913	482	19	-0.191006669619	89870.7639679	0.0
HepG2_HNRNPA1	ENCSR305XWT	82866	3477	997	47	0.168004469054	84267.6306959	0.0
HepG2_FAM120A	ENCSR689PHN	83628	3822	795	39	0.102177545964	85789.9555356	0.0
HepG2_PUM2	ENCSR042QTH	88700	4039	1185	43	-0.327542535711	90299.2889591	0.0
K562_DNAJC2	ENCSR667PLJ	75825	3527	768	23	-0.635240432691	77777.9287395	0.0
K562_SRSF9	ENCSR341TTW	80935	3741	790	30	-0.283550393468	83043.9517036	0.0
K562_WDR3	ENCSR174OYC	81800	3920	944	33	-0.455073646289	83777.1718893	0.0
K562_APOBEC3C	ENCSR620PUP	84667	3999	1025	41	-0.239767604981	86546.8292629	0.0
K562_HNRNPA0	ENCSR419JMU	79222	3593	1095	32	-0.634074871663	80576.419999	0.0
HepG2_RAVER1	ENCSR491FOC	83005	3347	1839	122	0.718289360196	82475.1905491	0.0
HepG2_DDX6	ENCSR237YZT	86108	4078	1356	56	-0.197572941831	87384.1228391	0.0
HepG2_KIF1C	ENCSR538QOG	88438	4208	659	25	-0.326818675588	91283.0590967	0.0
HepG2_DDX47	ENCSR968BBQ	87244	4156	720	38	0.14786277455	89890.2894054	0.0
HepG2_HNRNPU	ENCSR305XWT	84035	3591	1643	48	-0.548621496718	84276.7645171	0.0
HepG2_GEMIN5	ENCSR689PHN	82967	3766	1046	53	0.158686034009	84548.9332479	0.0
K562_NUFIP2	ENCSR174OYC	82099	3888	649	35	0.187472874373	84624.4454756	0.0
HepG2_PRPF6	ENCSR491FOC	86674	3727	720	37	0.257112831571	88893.3483519	0.0
K562_PUM1	ENCSR620PUP	87140	4090	1103	46	-0.170492754561	88946.4789041	0.0
HepG2_RBM34	ENCSR491FOC	86002	3653	599	29	0.188785353998	88403.4022294	0.0
K562_NOL12	ENCSR620PUP	86709	4061	985	50	0.116151089462	88711.8050502	0.0
HepG2_FMR1	ENCSR042QTH	87737	3945	698	43	0.454269700126	90206.0216996	0.0
K562_SF1	ENCSR898NWE	78254	3066	783	35	0.190149415694	79692.2341461	0.0
K562_DDX3X	ENCSR913CAE	79685	3749	697	25	-0.391428211704	81996.2633291	0.0
K562_HNRNPC	ENCSR572FFX	78242	3544	1406	89	0.482845291415	78823.5007081	0.0
K562_FTO	ENCSR424QCW	75536	3231	1019	36	-0.275901602385	76671.1476854	0.0
MCF-7_ZFX	ENCSR783OQM	95050	4647	281	15	0.1267793523	99105.8791495	0.0
HepG2_APOBEC3C	ENCSR279HMU	85183	3782	851	39	0.0457311688181	87193.9038763	0.0
HepG2_SUPV3L1	ENCSR856ZRV	85907	3866	1061	59	0.305296257729	87547.0043635	0.0
K562_ABCF1	ENCSR032YMP	81235	3663	940	44	0.0539185106532	82941.4056135	0.0
HepG2_CNOT7	ENCSR279HMU	83760	3689	1211	50	-0.0931672117963	84945.1862984	0.0
HepG2_STAU1	ENCSR067GHD	86115	4060	778	35	-0.067630404234	88556.3305112	0.0
HepG2_TRA2A	ENCSR491FOC	86642	3781	687	35	0.223343519461	88984.7713349	0.0
HepG2_PES1	ENCSR538QOG	88538	4214	672	33	0.0451112618311	91347.3588783	0.0
K562_RPS19	ENCSR661HEL	77091	3400	1477	75	0.203320370584	77416.952514	0.0
HepG2_RECQL	ENCSR603TCV	88042	4053	921	41	-0.0483755034869	90181.0492585	0.0
HepG2_NELFE	ENCSR603TCV	87849	4050	1109	48	-0.0910490986646	89599.568832	0.0
HepG2_SF3B4	ENCSR603TCV	87125	4015	1748	88	0.127557007263	87504.9991143	0.0
HepG2_EIF4A3	ENCSR237YZT	86755	3959	1709	75	-0.0563790559143	87181.0866654	0.0
K562_RRP9	ENCSR661HEL	77783	3411	743	32	-0.0260301816847	79651.3975015	0.0
HepG2_HDGF	ENCSR538QOG	88773	4204	669	34	0.101886818794	91576.3166105	0.0
K562_PTBP1	ENCSR129RWD	81658	3590	641	18	-0.646717061399	83935.1219806	0.0
K562_AGGF1	ENCSR143COQ	79729	3893	2519	61	-1.01174774474	78542.5424303	0.0
K562_SRSF4	ENCSR772DUM	76339	3315	1181	40	-0.358525641815	77230.7532764	0.0
HepG2_RBM15	ENCSR585KOJ	88290	4158	894	33	-0.351448522134	90603.3143003	0.0
HepG2_UPF2	ENCSR856ZRV	83750	3773	476	21	-0.0301951553321	86531.8222682	0.0
K562_PSIP1	ENCSR572FFX	76555	3587	1044	27	-0.857371537963	78014.4405273	0.0
K562_FKBP4	ENCSR572FFX	74980	3205	890	27	-0.494664460021	76361.7916075	0.0
HepG2_CKAP4	ENCSR538QOG	87848	4136	1365	72	0.163941116221	89132.4630311	0.0
K562_EIF4B	ENCSR913CAE	79097	3754	651	20	-0.627463216525	81514.4645438	0.0
K562_TFIP11	ENCSR661HEL	77439	3431	755	35	0.0653094743736	79297.7179938	0.0
HepG2_DDX27	ENCSR856ZRV	86739	3839	353	19	0.282281485572	89835.5306321	0.0
HepG2_NAA15	ENCSR067GHD	85443	3967	805	40	0.0979251218527	87727.9876234	0.0
HepG2_FKBP4	ENCSR856ZRV	86135	3819	512	30	0.402223350389	88873.2790724	0.0
HepG2_LARP7	ENCSR674KEK	86792	3872	788	35	-0.00635759097958	89025.4707661	0.0
HepG2_AGGF1	ENCSR853AOV	83924	3701	805	31	-0.195552261835	85960.9812291	0.0
HepG2_SFPQ	ENCSR104ABF	80600	3572	1344	44	-0.43690995096	81418.9531099	0.0
