mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
K562_MBNL1	ENCSR143COQ	85031	3225	1363	37	-0.48249864213	85478.2726339	0.0
K562_NONO	ENCSR661HEL	78782	2750	787	40	0.542070788038	79886.4436267	0.0
HepG2_CIRBP	ENCSR237YZT	86775	3103	995	42	0.239308565422	87815.9775861	0.0
K562_MAGOH	ENCSR129RWD	80182	2753	1605	42	-0.391838270831	79673.7679786	0.0
HepG2_BUD13	ENCSR067GHD	87220	3266	684	23	-0.155228264422	89077.5260626	0.0
K562_AGO2	ENCSR898NWE	75744	2327	1084	23	-0.533998589968	75872.7408506	0.0
K562_NCBP2	ENCSR913CAE	80615	2925	854	39	0.331849734839	81763.5669019	0.0
K562_SBDS	ENCSR419JMU	81364	2971	1046	34	-0.167834198871	82188.8362702	0.0
HepG2_TAF15	ENCSR603TCV	87040	3043	1237	36	-0.264592465911	87555.0059621	0.0
K562_SMN1	ENCSR419JMU	80884	2924	1023	34	-0.121288459518	81707.3339894	0.0
HepG2_SRSF4	ENCSR853AOV	86700	3203	906	33	-0.0204368304659	88034.807537	0.0
HepG2_SRSF7	ENCSR603TCV	89216	3313	828	22	-0.482962981075	90836.830632	0.0
K562_METAP2	ENCSR424QCW	76584	2589	1071	31	-0.223970310263	76984.3487398	0.0
HepG2_SUB1	ENCSR491FOC	85568	2868	683	25	0.127068862876	87025.6695978	0.0
K562_PAPOLA	ENCSR942UNX	72766	2171	734	21	-0.0604859542408	73434.6070846	0.0
K562_TBRG4	ENCSR344XID	75383	2090	636	13	-0.439778873813	76180.4467395	0.0
K562_SAFB	ENCSR341TTW	77946	2795	1123	38	-0.083659897932	78435.6961586	0.0
HepG2_PABPC1	ENCSR279HMU	84025	2994	1111	42	0.085346832414	84728.279104	0.0
HepG2_FUBP3	ENCSR376RJN	84220	3155	932	33	-0.0813410601093	85455.6589161	0.0
HepG2_ATP5C1	ENCSR067GHD	87977	3309	776	25	-0.223397442732	89691.0335769	0.0
K562_TRIM56	ENCSR572FFX	77807	2855	1001	24	-0.613926453977	78625.0797829	0.0
HepG2_PUS1	ENCSR538QOG	89359	3352	872	31	-0.0774690275611	90913.7960109	0.0
HepG2_NONO	ENCSR856ZRV	87419	3144	902	40	0.30221822392	88688.8158529	0.0
K562_TARDBP	ENCSR129RWD	81990	2824	918	34	0.104748464697	82920.6877239	0.0
HepG2_PPIG	ENCSR246RRQ	88783	3315	814	31	0.0285140091867	90415.7529898	0.0
HepG2_EIF4G1	ENCSR042QTH	88224	3083	824	24	-0.262773648559	89618.8828774	0.0
HepG2_SND1	ENCSR491FOC	87423	3083	687	34	0.488902644244	89069.7736417	0.0
HepG2_FIP1L1	ENCSR067GHD	87411	3285	1209	44	-0.0463173430808	88207.3112798	0.0
HepG2_XPO5	ENCSR279HMU	84226	3015	963	39	0.178045976086	85248.5149613	0.0
K562_SDAD1	ENCSR341TTW	79549	2816	770	27	-0.0137025777656	80778.7121456	0.0
K562_RECQL	ENCSR942UNX	76206	2436	428	10	-0.452220338589	77768.4448511	0.0
K562_PA2G4	ENCSR661HEL	79130	2737	680	26	0.144606199412	80461.0905343	0.0
HepG2_PA2G4	ENCSR689PHN	80637	2957	1038	23	-0.726792954723	81485.5405553	0.0
HepG2_DDX59	ENCSR264TUE	85245	3044	1212	41	-0.0780470266986	85800.7842592	0.0
K562_RPS3	ENCSR772DUM	76328	2610	1807	55	-0.167930399934	75257.9381805	0.0
HepG2_HLTF	ENCSR491FOC	85720	2731	700	29	0.378900514094	86999.0242314	0.0
K562_UBE2L3	ENCSR620PUP	89365	3346	937	35	-0.00342166388008	90777.1906374	0.0
HepG2_DROSHA	ENCSR481WJH	71912	2237	990	19	-0.696761828864	72144.7905347	0.0
K562_DDX51	ENCSR661HEL	79444	2760	664	35	0.601441677774	80811.9936115	0.0
