File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF370GDB	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF415JAG, ENCFF715OWV, ENCFF821QFO, ENCFF857MJR, ENCFF958RKH	64833	Gene Yeo, UCSD	ad39cf0abd39184965af52f2c88153ee		https://www.encodeproject.org/files/ENCFF370GDB/@@download/ENCFF370GDB.bed.gz	hg19				released	s3://encode-public/2018/06/08/8c868d8e-da4a-4e20-b4f9-9e1c166a1c5f/ENCFF370GDB.bed.gz				
ENCFF385MJU	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF098RFI, ENCFF184AQO, ENCFF353RQP, ENCFF623LPT, ENCFF889XJU	64472	Gene Yeo, UCSD	4c8e478566c6793a650547733a3c214b		https://www.encodeproject.org/files/ENCFF385MJU/@@download/ENCFF385MJU.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/2cf038d8-cdbb-450e-8e30-f7e6f4ea58b2/ENCFF385MJU.bed.gz				
ENCFF821QFO	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF415JAG, ENCFF715OWV	2699776	Gene Yeo, UCSD	469863bc1204ad43d293db0485a9ccc4		https://www.encodeproject.org/files/ENCFF821QFO/@@download/ENCFF821QFO.bed.gz	hg19				released	s3://encode-public/2016/11/30/3950b92a-2e26-4b30-9db8-743f5255ee1b/ENCFF821QFO.bed.gz				
ENCFF857MJR	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF715OWV, ENCFF958RKH	3150994	Gene Yeo, UCSD	65b0090de1ced20fc2ceefadf85fb500		https://www.encodeproject.org/files/ENCFF857MJR/@@download/ENCFF857MJR.bed.gz	hg19				released	s3://encode-public/2016/11/30/95868d32-fe9d-4e54-aa10-fd3d60f73904/ENCFF857MJR.bed.gz				
ENCFF623LPT	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF098RFI, ENCFF184AQO	3167322	Gene Yeo, UCSD	edcb5ff788606c89b8bf3be2d91e7244		https://www.encodeproject.org/files/ENCFF623LPT/@@download/ENCFF623LPT.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/1b302e10-029e-4484-bd90-c99a346cd6cd/ENCFF623LPT.bed.gz				
ENCFF353RQP	bed narrowPeak	peaks	ENCSR438KWZ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										ILF3-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF184AQO, ENCFF889XJU	2704047	Gene Yeo, UCSD	6f874797d8d2d20306b47d58d067dd0a		https://www.encodeproject.org/files/ENCFF353RQP/@@download/ENCFF353RQP.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/36c23acb-5842-4977-b3ba-7809a377b3a4/ENCFF353RQP.bed.gz				
ENCFF865AZP	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF106PSH, ENCFF586AZF, ENCFF632LPF, ENCFF774EDY, ENCFF913UPA	10097	Gene Yeo, UCSD	9ee9b0b2881f4b51fd700ddf95922e25		https://www.encodeproject.org/files/ENCFF865AZP/@@download/ENCFF865AZP.bed.gz	hg19				released	s3://encode-public/2018/06/08/d01914b1-3c7c-46e6-a0ab-fabcb2721f5f/ENCFF865AZP.bed.gz				
ENCFF317HGW	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF160TWL, ENCFF558CNE, ENCFF593CEQ, ENCFF743ZXA, ENCFF944XFZ	10106	Gene Yeo, UCSD	d9938deb7f0ded952df161616f64dead		https://www.encodeproject.org/files/ENCFF317HGW/@@download/ENCFF317HGW.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/c6e6abc9-1713-4517-88e8-82a771667588/ENCFF317HGW.bed.gz				
ENCFF774EDY	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF106PSH, ENCFF586AZF	1046900	Gene Yeo, UCSD	bca198a0975feba82cb4a8bb954e3a25		https://www.encodeproject.org/files/ENCFF774EDY/@@download/ENCFF774EDY.bed.gz	hg19				released	s3://encode-public/2016/11/30/53c3b498-9b85-4cb7-bbb8-bf8b14b3f2c6/ENCFF774EDY.bed.gz				
ENCFF913UPA	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF586AZF, ENCFF632LPF	620674	Gene Yeo, UCSD	6449aac8ccbea4dc2f43040baff2e6cd		https://www.encodeproject.org/files/ENCFF913UPA/@@download/ENCFF913UPA.bed.gz	hg19				released	s3://encode-public/2016/11/30/0d1f3130-ae09-4b7b-99e7-7773c39a49ed/ENCFF913UPA.bed.gz				
ENCFF944XFZ	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF160TWL, ENCFF743ZXA	1062684	Gene Yeo, UCSD	fc11098a54e096c6871d4769af91bfe0		https://www.encodeproject.org/files/ENCFF944XFZ/@@download/ENCFF944XFZ.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/c7650be6-00e9-45e0-b3eb-78fb11b011be/ENCFF944XFZ.bed.gz				
ENCFF593CEQ	bed narrowPeak	peaks	ENCSR513NDD	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										SRSF7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF160TWL, ENCFF558CNE	625105	Gene Yeo, UCSD	9e3195413c11cbeef118c93a5591cedf		https://www.encodeproject.org/files/ENCFF593CEQ/@@download/ENCFF593CEQ.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/9b5e3daf-76fd-4c2a-8612-fc2467e74258/ENCFF593CEQ.bed.gz				
ENCFF756RYJ	bed narrowPeak	peaks	ENCSR825SVO	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										AARS-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1, 2							ENCFF236UYB, ENCFF374VRV, ENCFF400HPZ, ENCFF694QCY, ENCFF713BCH	1545	Gene Yeo, UCSD	7f5467e885f9765798063c9268d0da19		https://www.encodeproject.org/files/ENCFF756RYJ/@@download/ENCFF756RYJ.bed.gz	hg19				released	s3://encode-public/2018/06/08/155f334b-de56-4865-9ee8-5a061ed43382/ENCFF756RYJ.bed.gz				
ENCFF128BDG	bed narrowPeak	peaks	ENCSR825SVO	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										AARS-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1, 2							ENCFF273HDK, ENCFF502RSZ, ENCFF684FVK, ENCFF692AEZ, ENCFF883DWR	1424	Gene Yeo, UCSD	f4350e77322df84035405d6ad66baf74		https://www.encodeproject.org/files/ENCFF128BDG/@@download/ENCFF128BDG.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/387991c7-f35b-4abb-a92a-f6078be6f525/ENCFF128BDG.bed.gz				
ENCFF400HPZ	bed narrowPeak	peaks	ENCSR825SVO	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										AARS-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1	1						ENCFF236UYB, ENCFF713BCH	801363	Gene Yeo, UCSD	c452427336f114139283903017f15720		https://www.encodeproject.org/files/ENCFF400HPZ/@@download/ENCFF400HPZ.bed.gz	hg19				released	s3://encode-public/2016/11/30/a7d4bd64-e21f-4eb7-8b88-2f1c775da865/ENCFF400HPZ.bed.gz				
ENCFF374VRV	bed narrowPeak	peaks	ENCSR825SVO	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										AARS-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				2	1						ENCFF694QCY, ENCFF713BCH	914519	Gene Yeo, UCSD	06c97939bc3508d1d0aeb5fe74a5b814		https://www.encodeproject.org/files/ENCFF374VRV/@@download/ENCFF374VRV.bed.gz	hg19				released	s3://encode-public/2016/11/30/e7809c8d-93ed-4b65-9b0d-b8b365223176/ENCFF374VRV.bed.gz				
ENCFF883DWR	bed narrowPeak	peaks	ENCSR825SVO	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										AARS-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1	1						ENCFF273HDK, ENCFF502RSZ	750429	Gene Yeo, UCSD	f0a4abb81ffcf7ab2b183a89603ba1ef		https://www.encodeproject.org/files/ENCFF883DWR/@@download/ENCFF883DWR.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/60d99fce-9122-490f-bfca-2bc696edc99e/ENCFF883DWR.bed.gz				
ENCFF684FVK	bed narrowPeak	peaks	ENCSR825SVO	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										AARS-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				2	1						ENCFF273HDK, ENCFF692AEZ	881855	Gene Yeo, UCSD	1cd731ffd1d0d45a6738ee2546974a11		https://www.encodeproject.org/files/ENCFF684FVK/@@download/ENCFF684FVK.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/df6e6c2d-a6a1-466a-9ddd-28e13c04ee99/ENCFF684FVK.bed.gz				
ENCFF302FFF	bed narrowPeak	peaks	ENCSR961OKA	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										LARP7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF015FBQ, ENCFF406RMO, ENCFF440FLF, ENCFF699ZLU, ENCFF805KJP	6457	Gene Yeo, UCSD	a08ca12008877bd46a86ad9b02021528		https://www.encodeproject.org/files/ENCFF302FFF/@@download/ENCFF302FFF.bed.gz	hg19				released	s3://encode-public/2018/06/08/83cc677a-052e-4905-a089-1d3321d45de7/ENCFF302FFF.bed.gz				
ENCFF307MDW	bed narrowPeak	peaks	ENCSR961OKA	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										LARP7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF086NCN, ENCFF240QBZ, ENCFF345DPL, ENCFF647TKI, ENCFF774NGW	6857	Gene Yeo, UCSD	49ee31254769747a3cc9165dd4e6bec3		https://www.encodeproject.org/files/ENCFF307MDW/@@download/ENCFF307MDW.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/b5e8a852-bc83-439e-8fa1-0b163f829987/ENCFF307MDW.bed.gz				
ENCFF699ZLU	bed narrowPeak	peaks	ENCSR961OKA	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										LARP7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF015FBQ, ENCFF406RMO	158689	Gene Yeo, UCSD	b3a04109e01b1cb4fefaaefecea52279		https://www.encodeproject.org/files/ENCFF699ZLU/@@download/ENCFF699ZLU.bed.gz	hg19				released	s3://encode-public/2016/11/30/181969e7-5c9b-439c-8a29-1a7e64755686/ENCFF699ZLU.bed.gz				
ENCFF440FLF	bed narrowPeak	peaks	ENCSR961OKA	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										LARP7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF015FBQ, ENCFF805KJP	247362	Gene Yeo, UCSD	e0978ce2d1d341352004fe8f02f95aae		https://www.encodeproject.org/files/ENCFF440FLF/@@download/ENCFF440FLF.bed.gz	hg19				released	s3://encode-public/2016/11/30/19398ecc-0ac2-49a2-849e-55fb27a2d89d/ENCFF440FLF.bed.gz				
ENCFF774NGW	bed narrowPeak	peaks	ENCSR961OKA	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										LARP7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF240QBZ, ENCFF345DPL	245403	Gene Yeo, UCSD	0471a7f08741aea3bd56d57a7cd84721		https://www.encodeproject.org/files/ENCFF774NGW/@@download/ENCFF774NGW.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/fd2ea927-acf3-42aa-8e4b-85fd6b9e926d/ENCFF774NGW.bed.gz				
ENCFF647TKI	bed narrowPeak	peaks	ENCSR961OKA	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										LARP7-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF086NCN, ENCFF240QBZ	156693	Gene Yeo, UCSD	1c147eebc54f26d3e3bc65e7b80b5719		https://www.encodeproject.org/files/ENCFF647TKI/@@download/ENCFF647TKI.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/8d85b0ce-6500-457c-93be-cad17532d9aa/ENCFF647TKI.bed.gz				
ENCFF331VCF	bed narrowPeak	peaks	ENCSR128VXC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SND1-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF367EEH, ENCFF479VZE, ENCFF502YXG, ENCFF612RZN, ENCFF677MQI	98987	Gene Yeo, UCSD	31d241b6cbd0d2d876c6a38bf63a42a3		https://www.encodeproject.org/files/ENCFF331VCF/@@download/ENCFF331VCF.bed.gz	hg19				released	s3://encode-public/2018/06/08/3b119c1e-4d8e-43ea-982e-b0cb49fa8b22/ENCFF331VCF.bed.gz				
ENCFF211TRO	bed narrowPeak	peaks	ENCSR128VXC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SND1-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1, 2							ENCFF341KSL, ENCFF351QXF, ENCFF438IIB, ENCFF867TFQ, ENCFF971LCF	98820	Gene Yeo, UCSD	ca363da2118ad1a887fcbb23d713259f		https://www.encodeproject.org/files/ENCFF211TRO/@@download/ENCFF211TRO.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/15f215fd-9c1e-41cd-a53e-a7b2dcbb65cf/ENCFF211TRO.bed.gz				
ENCFF677MQI	bed narrowPeak	peaks	ENCSR128VXC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SND1-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF502YXG, ENCFF612RZN	2181071	Gene Yeo, UCSD	adffbe33a3d7577806b001378ba865d4		https://www.encodeproject.org/files/ENCFF677MQI/@@download/ENCFF677MQI.bed.gz	hg19				released	s3://encode-public/2016/11/30/10b3a3a1-70f8-4e36-8d21-8d35fcf86524/ENCFF677MQI.bed.gz				
ENCFF479VZE	bed narrowPeak	peaks	ENCSR128VXC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SND1-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF367EEH, ENCFF502YXG	2393893	Gene Yeo, UCSD	ca2f0b649f4a9bf551229d73c74684b1		https://www.encodeproject.org/files/ENCFF479VZE/@@download/ENCFF479VZE.bed.gz	hg19				released	s3://encode-public/2016/11/30/8797bd7c-6cc9-406b-ae68-f25f778b0ad7/ENCFF479VZE.bed.gz				
ENCFF341KSL	bed narrowPeak	peaks	ENCSR128VXC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SND1-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				1	1						ENCFF351QXF, ENCFF438IIB	2401613	Gene Yeo, UCSD	1367387d2b52821dbf80814721f8e34e		https://www.encodeproject.org/files/ENCFF341KSL/@@download/ENCFF341KSL.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/564db8c8-1f60-452c-828a-935dfe9d49ac/ENCFF341KSL.bed.gz				
ENCFF971LCF	bed narrowPeak	peaks	ENCSR128VXC	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SND1-human	RNA		see document	see document	ultraviolet irradiation	True	2015-11-09	ENCODE				2	1						ENCFF438IIB, ENCFF867TFQ	2182475	Gene Yeo, UCSD	eb9600c78d115a522487652556522e68		https://www.encodeproject.org/files/ENCFF971LCF/@@download/ENCFF971LCF.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/5eea2ff7-062b-4e3c-af0a-a00040a67480/ENCFF971LCF.bed.gz				
ENCFF582WWR	bed narrowPeak	peaks	ENCSR756CKJ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RBFOX2-human	RNA		see document	see document	ultraviolet irradiation	True	2016-09-21	ENCODE				1, 2							ENCFF045FUV, ENCFF076RDA, ENCFF249RTF, ENCFF654XPT, ENCFF994PFX	80758	Gene Yeo, UCSD	c99e9a29c0457cbf7dba0f0a3b9f791b		https://www.encodeproject.org/files/ENCFF582WWR/@@download/ENCFF582WWR.bed.gz	hg19				released	s3://encode-public/2018/06/08/72cdc77b-ef09-4b53-a757-b738d7b5fcd7/ENCFF582WWR.bed.gz				
ENCFF206RIM	bed narrowPeak	peaks	ENCSR756CKJ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RBFOX2-human	RNA		see document	see document	ultraviolet irradiation	True	2016-09-21	ENCODE				1, 2							ENCFF212IIR, ENCFF296GDR, ENCFF537RYR, ENCFF779OIO, ENCFF910WLP	81673	Gene Yeo, UCSD	1bab6359c9e2b3af8ac819fafe473f66		https://www.encodeproject.org/files/ENCFF206RIM/@@download/ENCFF206RIM.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/d6cd21a6-dc4e-4de8-a91c-813cbed3f560/ENCFF206RIM.bed.gz				
ENCFF076RDA	bed narrowPeak	peaks	ENCSR756CKJ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RBFOX2-human	RNA		see document	see document	ultraviolet irradiation	True	2016-09-21	ENCODE				1	1						ENCFF045FUV, ENCFF654XPT	3428312	Gene Yeo, UCSD	8584b7863eb8de5833c46db8bbd9dee2		https://www.encodeproject.org/files/ENCFF076RDA/@@download/ENCFF076RDA.bed.gz	hg19				released	s3://encode-public/2016/11/30/e93fec34-e489-4da6-ab75-bd600cd5884a/ENCFF076RDA.bed.gz				
ENCFF994PFX	bed narrowPeak	peaks	ENCSR756CKJ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RBFOX2-human	RNA		see document	see document	ultraviolet irradiation	True	2016-09-21	ENCODE				2	1						ENCFF045FUV, ENCFF249RTF	2349359	Gene Yeo, UCSD	dcbc6f535c7e86491d1c3965181245a0		https://www.encodeproject.org/files/ENCFF994PFX/@@download/ENCFF994PFX.bed.gz	hg19				released	s3://encode-public/2016/11/30/afa79a1c-3d05-4454-aa59-52754d6c8de7/ENCFF994PFX.bed.gz				
ENCFF779OIO	bed narrowPeak	peaks	ENCSR756CKJ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RBFOX2-human	RNA		see document	see document	ultraviolet irradiation	True	2016-09-21	ENCODE				2	1						ENCFF212IIR, ENCFF296GDR	2295708	Gene Yeo, UCSD	38f0bfdeff21e5874519965eab65b55c		https://www.encodeproject.org/files/ENCFF779OIO/@@download/ENCFF779OIO.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/83528037-03fa-496e-8635-60fa1733a2fa/ENCFF779OIO.bed.gz				
ENCFF910WLP	bed narrowPeak	peaks	ENCSR756CKJ	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										RBFOX2-human	RNA		see document	see document	ultraviolet irradiation	True	2016-09-21	ENCODE				1	1						ENCFF212IIR, ENCFF537RYR	3404863	Gene Yeo, UCSD	9927a957044da9aeb9dc357e0290ed53		https://www.encodeproject.org/files/ENCFF910WLP/@@download/ENCFF910WLP.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/77007bf9-5b3a-4684-a13e-6f175f729c49/ENCFF910WLP.bed.gz				
ENCFF445CGF	bed narrowPeak	peaks	ENCSR570WLM	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										QKI-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1, 2							ENCFF081ZJS, ENCFF179YDO, ENCFF365AGK, ENCFF459ANM, ENCFF525PZA	226798	Gene Yeo, UCSD	368917f2fb6b463ffea98caa4c3e06c9		https://www.encodeproject.org/files/ENCFF445CGF/@@download/ENCFF445CGF.bed.gz	hg19				released	s3://encode-public/2018/06/08/8bc65658-5820-408c-8f81-d14d41ecf3c4/ENCFF445CGF.bed.gz				
ENCFF704OCI	bed narrowPeak	peaks	ENCSR570WLM	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										QKI-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1, 2							ENCFF015GLL, ENCFF551IJQ, ENCFF567ADV, ENCFF815XNW, ENCFF862YVK	219021	Gene Yeo, UCSD	a296630af5b4bfa095cb480088f16448		https://www.encodeproject.org/files/ENCFF704OCI/@@download/ENCFF704OCI.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/20e0970d-44f8-486b-9ba4-0bfad22d23c9/ENCFF704OCI.bed.gz				
ENCFF525PZA	bed narrowPeak	peaks	ENCSR570WLM	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										QKI-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				2	1						ENCFF081ZJS, ENCFF365AGK	2252732	Gene Yeo, UCSD	186ab0d8c3987f004db595becd871c44		https://www.encodeproject.org/files/ENCFF525PZA/@@download/ENCFF525PZA.bed.gz	hg19				released	s3://encode-public/2016/11/30/acb187c8-db5f-44fa-825f-6b48e3a415b8/ENCFF525PZA.bed.gz				
ENCFF459ANM	bed narrowPeak	peaks	ENCSR570WLM	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										QKI-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1	1						ENCFF179YDO, ENCFF365AGK	2950995	Gene Yeo, UCSD	32791f1c9cd30b0bdbd68af5b95fbaa5		https://www.encodeproject.org/files/ENCFF459ANM/@@download/ENCFF459ANM.bed.gz	hg19				released	s3://encode-public/2016/11/30/8157be72-a970-43c4-92ef-9ba8979cfce1/ENCFF459ANM.bed.gz				
ENCFF815XNW	bed narrowPeak	peaks	ENCSR570WLM	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										QKI-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				2	1						ENCFF015GLL, ENCFF862YVK	2148439	Gene Yeo, UCSD	56c4e8a1cffbb46892b727236eb0618e		https://www.encodeproject.org/files/ENCFF815XNW/@@download/ENCFF815XNW.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/348defda-8fbf-46d3-be27-828ddc316eff/ENCFF815XNW.bed.gz				
ENCFF551IJQ	bed narrowPeak	peaks	ENCSR570WLM	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										QKI-human	RNA		see document	see document	ultraviolet irradiation	True	2016-04-26	ENCODE				1	1						ENCFF015GLL, ENCFF567ADV	2895360	Gene Yeo, UCSD	6da25d227f8ae215d4f422deba7c1d4d		https://www.encodeproject.org/files/ENCFF551IJQ/@@download/ENCFF551IJQ.bed.gz	GRCh38				released	s3://encode-public/2016/11/30/578e32aa-03fa-49d9-bffd-e6eb0c7e26ec/ENCFF551IJQ.bed.gz				
ENCFF374GKD	bed narrowPeak	peaks	ENCSR018ZUE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FKBP4-human	RNA		see document	see document	ultraviolet irradiation	True	2015-07-15	ENCODE				1, 2							ENCFF035UHD, ENCFF194AMH, ENCFF249FBZ, ENCFF585PKG, ENCFF993XGD	29420	Gene Yeo, UCSD	ff16683274760f2bf87a7e1880c4c373		https://www.encodeproject.org/files/ENCFF374GKD/@@download/ENCFF374GKD.bed.gz	hg19				released	s3://encode-public/2018/06/08/5f060df1-e6a6-477c-8be5-a6be4c61b6e9/ENCFF374GKD.bed.gz				
ENCFF957AOZ	bed narrowPeak	peaks	ENCSR018ZUE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FKBP4-human	RNA		see document	see document	ultraviolet irradiation	True	2015-07-15	ENCODE				1, 2							ENCFF141QHH, ENCFF802VWZ, ENCFF814MSM, ENCFF903KIZ, ENCFF949BFD	29362	Gene Yeo, UCSD	0e50300b25bd88fc97f4ef18f76e0f8a		https://www.encodeproject.org/files/ENCFF957AOZ/@@download/ENCFF957AOZ.bed.gz	GRCh38				released	s3://encode-public/2018/12/03/85edf313-a280-465a-b910-b6cc9e4daee0/ENCFF957AOZ.bed.gz				
ENCFF993XGD	bed narrowPeak	peaks	ENCSR018ZUE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FKBP4-human	RNA		see document	see document	ultraviolet irradiation	True	2015-07-15	ENCODE				1	1						ENCFF035UHD, ENCFF194AMH	535618	Gene Yeo, UCSD	19972782dec4c73a65d7d247b31e3c7d		https://www.encodeproject.org/files/ENCFF993XGD/@@download/ENCFF993XGD.bed.gz	hg19				released	s3://encode-public/2016/11/30/4b5c4188-57d5-4b14-9505-2f477772442f/ENCFF993XGD.bed.gz				
ENCFF585PKG	bed narrowPeak	peaks	ENCSR018ZUE	eCLIP	EFO:0001187	HepG2	cell line	Homo sapiens										FKBP4-human	RNA		see document	see document	ultraviolet irradiation	True	2015-07-15	ENCODE				2	1						ENCFF194AMH, ENCFF249FBZ	868143	Gene Yeo, UCSD	6922ba398d7465e264f641c32d5621bd		https://www.encodeproject.org/files/ENCFF585PKG/@@download/ENCFF585PKG.bed.gz	hg19				released	s3://encode-public/2016/11/30/3510ea28-f5b1-4ed7-8356-0175f58f75c6/ENCFF585PKG.bed.gz				
